UBERON ID,UBERON Label,FMA ID,FMA Label,
UBERON:0000461,minor vestibular gland,FMA:20019,Lesser vestibular gland,
UBERON:0000463,organism substance,FMA:9669,Portion of body substance,
UBERON:0000464,anatomical space,FMA:5897,Anatomical space,
UBERON:0000465,material anatomical entity,FMA:67165,Material anatomical entity,
UBERON:0000466,immaterial anatomical entity,FMA:67112,Immaterial anatomical entity,
UBERON:0000467,anatomical system,FMA:7149,Organ system,
UBERON:0000468,multicellular organism,FMA:256135,Body,
UBERON:0000473,testis,FMA:7210,Testis,
UBERON:0000474,female reproductive system,FMA:45663,Genital system of female human body,
UBERON:0000475,organism subdivision,FMA:7153,Cardinal body part,
UBERON:0000476,acellular anatomical structure,FMA:63863,Acellular anatomical structure,
UBERON:0000477,anatomical cluster,FMA:49443,Anatomical cluster,
UBERON:0000478,extraembryonic structure,FMA:85537,Extra-embryonic structure,
UBERON:0000479,tissue,FMA:9637,Portion of tissue,
UBERON:0000482,basal lamina of epithelium,FMA:62918,Basal lamina,
UBERON:0000483,epithelium,FMA:9639,Portion of epithelium,
UBERON:0000484,simple cuboidal epithelium,FMA:45566,Simple cuboidal epithelium,
UBERON:0000485,simple columnar epithelium,FMA:45567,Simple columnar epithelium,
UBERON:0000486,multilaminar epithelium,FMA:45562,Multilaminar epithelium,
UBERON:0000487,simple squamous epithelium,FMA:45565,Simple squamous epithelium,
UBERON:0000488,atypical epithelium,FMA:61741,Atypical epithelium,
UBERON:0000489,cavitated compound organ,FMA:55671,Cavitated organ,
UBERON:0000490,unilaminar epithelium,FMA:45561,Unilaminar epithelium,
UBERON:0000491,solid compound organ,FMA:55670,Solid organ,
UBERON:0000569,ileocecal valve,FMA:15973,Ileocecal valve,
UBERON:0000642,suspensory ligament of duodenum,FMA:20509,Suspensory ligament of duodenum,
UBERON:0000711,splenius capitis,FMA:22653,Splenius capitis,
UBERON:0000908,hippocampal commissure,FMA:61970,Commissure of fornix of forebrain,
UBERON:0000910,chyme,FMA:62961,Portion of chyme,
UBERON:0000911,chyle,FMA:61403,Portion of chyle,
UBERON:0000912,mucus,FMA:66938,Portion of mucus,
UBERON:0000913,interstitial fluid,FMA:9673,Portion of tissue fluid,
UBERON:0000915,thoracic segment of trunk,FMA:259209,Thoracic segment of trunk,
UBERON:0000916,abdomen,FMA:9577,Abdomen,
UBERON:0000922,embryo,FMA:69068,Embryo at discrete temporal stage,
UBERON:0000923,germ layer,FMA:69069,Embryonic tissue,
UBERON:0000924,ectoderm,FMA:69070,Ectoderm,
UBERON:0000925,endoderm,FMA:69071,Endoderm,
UBERON:0000926,mesoderm,FMA:69072,Mesoderm,
UBERON:0000929,pharyngeal branch of vagus nerve,FMA:6234,Pharyngeal branch of vagus nerve,
UBERON:0000930,stomodeum,FMA:295846,Stomodeum,
UBERON:0000933,pharyngeal muscle,FMA:46619,Muscle of pharynx,
UBERON:0000935,anterior commissure,FMA:61961,Anterior commissure,
UBERON:0000936,posterior commissure,FMA:62072,Posterior commissure,
UBERON:0000941,cranial nerve II,FMA:50863,Optic nerve,
UBERON:0000942,frontal nerve (branch of ophthalmic),FMA:52638,Frontal nerve,
UBERON:0000945,stomach,FMA:7148,Stomach,
UBERON:0000946,cardial valve,FMA:7110,Cardiac valve,
UBERON:0000947,aorta,FMA:3734,Aorta,
UBERON:0000948,heart,FMA:7088,Heart,
UBERON:0000949,endocrine system,FMA:9668,Endocrine system,
UBERON:0000950,gracilis,FMA:43882,Gracilis,
UBERON:0000951,rotator muscle of the vertebral column,FMA:23081,Rotator muscle,
UBERON:0000955,brain,FMA:50801,Brain,
UBERON:0000956,cerebral cortex,FMA:61830,Cerebral cortex,
UBERON:0000958,medulla of organ,FMA:61108,Medulla,
UBERON:0000959,optic chiasma,FMA:62045,Optic chiasm,
UBERON:0000961,thoracic ganglion,FMA:6471,Thoracic ganglion,
UBERON:0000962,nerve of cervical vertebra,FMA:5859,Cervical nerve,
UBERON:0000964,cornea,FMA:58238,Cornea,
UBERON:0000965,lens of camera-type eye,FMA:58241,Lens,
UBERON:0000966,retina,FMA:58301,Retina,
UBERON:0000974,neck,FMA:7155,Neck,
UBERON:0000975,sternum,FMA:7485,Sternum,
UBERON:0000976,humerus,FMA:13303,Humerus,
UBERON:0000977,pleura,FMA:9583,Pleura,
UBERON:0000979,tibia,FMA:24476,Tibia,
UBERON:0000980,trochanter,FMA:82513,Trochanter,
UBERON:0000981,femur,FMA:9611,Femur,
UBERON:0000982,skeletal joint,FMA:7490,Joint,
UBERON:0000983,metatarsus region,FMA:24997,Metatarsus,
UBERON:0000985,axillary vein,FMA:13329,Axillary vein,
UBERON:0000988,pons,FMA:67943,Pons,
UBERON:0000989,penis,FMA:9707,Penis,
UBERON:0000990,reproductive system,FMA:7160,Genital system,
UBERON:0000991,gonad,FMA:18250,Gonad,
UBERON:0000992,ovary,FMA:7209,Ovary,
UBERON:0000995,uterus,FMA:17558,Uterus,
UBERON:0000996,vagina,FMA:19949,Vagina,
UBERON:0000997,mammalian vulva,FMA:20462,Vulva,
UBERON:0000998,seminal vesicle,FMA:19386,Seminal vesicle,
UBERON:0000999,ejaculatory duct,FMA:19325,Ejaculatory duct,
UBERON:0001000,vas deferens,FMA:19234,Deferent duct,
UBERON:0001003,skin epidermis,FMA:70596,Epidermis,
UBERON:0001004,respiratory system,FMA:7158,Respiratory system,
UBERON:0001005,respiratory airway,FMA:265130,Respiratory tract,
UBERON:0001007,digestive system,FMA:7152,Alimentary system,
UBERON:0001008,renal system,FMA:7159,Urinary system,
UBERON:0001010,diaphysis of ulna,FMA:33760,Diaphysis of ulna,
UBERON:0001012,head of radius,FMA:33773,Head of radius,
UBERON:0001013,adipose tissue,FMA:20110,Adipose tissue,
UBERON:0001015,musculature,FMA:32558,Musculature,
UBERON:0001016,nervous system,FMA:7157,Nervous system,
UBERON:0001017,central nervous system,FMA:55675,Neuraxis,
UBERON:0001018,axon tract,FMA:83847,Tract of neuraxis,
UBERON:0001019,nerve fasciculus,FMA:12235,Nerve fasciculus,
UBERON:0001020,nervous system commissure,FMA:83906,Commissure of neuraxis,
UBERON:0001021,nerve,FMA:65239,Peripheral nerve,
UBERON:0001021,nerve,FMA:65132,Nerve,
UBERON:0001027,sensory nerve,FMA:5868,Sensory nerve,
UBERON:0001028,diaphysis of radius,FMA:33782,Diaphysis of radius,
UBERON:0001031,sheath of Schwann,FMA:62976,Neurilemma,
UBERON:0001032,sensory system,FMA:75259,Set of sense organs,
UBERON:0001033,gustatory system,FMA:7194,Gustatory system,
UBERON:0001035,dento-alveolar joint,FMA:7495,Dento-alveolar joint,
UBERON:0001037,strand of hair,FMA:53667,Hair,
UBERON:0001040,yolk sac,FMA:87180,Yolk sac,
UBERON:0001041,foregut,FMA:45616,Foregut,
UBERON:0001042,chordate pharynx,FMA:46688,Pharynx,
UBERON:0001043,esophagus,FMA:7131,Esophagus,
UBERON:0001044,saliva-secreting gland,FMA:9597,Salivary gland,
UBERON:0001045,midgut,FMA:45617,Midgut,
UBERON:0001046,hindgut,FMA:45618,Hindgut,
UBERON:0001048,primordium,FMA:86589,Primordium,
UBERON:0001049,neural tube,FMA:293882,Neural tube,
UBERON:0001051,hypopharynx,FMA:54880,Laryngopharynx,
UBERON:0001052,rectum,FMA:14544,Rectum,
UBERON:0001062,anatomical entity,FMA:62955,Anatomical entity,
UBERON:0001063,flocculus,FMA:83881,Flocculus of cerebellum,
UBERON:0001064,ventral pancreatic duct,FMA:16003,Main pancreatic duct,
UBERON:0001065,parotid main excretory duct,FMA:10420,Parotid duct,
UBERON:0001066,intervertebral disk,FMA:10446,Intervertebral disk,
UBERON:0001067,vertebral arch joint,FMA:10447,Vertebral arch joint,
UBERON:0001068,skin of back,FMA:10462,Skin of back,
UBERON:0001068,skin of back,FMA:22985,Segment of skin of back,
UBERON:0001069,head of pancreas,FMA:10468,Head of pancreas,
UBERON:0001070,external carotid artery,FMA:10635,External carotid artery,
UBERON:0001071,superficial cervical artery,FMA:10665,Superficial cervical artery,
UBERON:0001072,posterior vena cava,FMA:10951,Inferior vena cava,
UBERON:0001073,ileocecal junction,FMA:11338,Ileocecal junction,
UBERON:0001074,pericardial cavity,FMA:11350,Pericardial cavity,
UBERON:0001075,bony vertebral centrum,FMA:11945,Body of vertebra,
UBERON:0001076,neural spine,FMA:11948,Spinous process of vertebra,
UBERON:0001077,transverse process of vertebra,FMA:11949,Transverse process of vertebra,
UBERON:0001078,pedicle of vertebra,FMA:11950,Pedicle of vertebra,
UBERON:0001079,prezygapophysis,FMA:11953,Superior articular process of vertebra,
UBERON:0001080,postzygapophysis,FMA:11954,Inferior articular process of vertebra,
UBERON:0001081,endocardium of ventricle,FMA:12148,Endocardium of ventricle,
UBERON:0001082,epicardium of ventricle,FMA:12150,Epicardium of ventricle,
UBERON:0001083,myocardium of ventricle,FMA:12151,Myocardium of ventricle,
UBERON:0001084,skin of head,FMA:24756,Segment of skin of head,
UBERON:0001084,skin of head,FMA:12166,Skin of head,
UBERON:0001085,skin of trunk,FMA:12167,Skin of trunk,
UBERON:0001085,skin of trunk,FMA:23093,Segment of skin of trunk,
UBERON:0001087,pleural fluid,FMA:12273,Portion of pleural fluid,
UBERON:0001088,urine,FMA:12274,Portion of urine,
UBERON:0001089,sweat,FMA:12275,Portion of sweat,
UBERON:0001090,synovial fluid,FMA:12277,Portion of synovial fluid,
UBERON:0001091,calcareous tooth,FMA:12516,Tooth,
UBERON:0001092,vertebral bone 1,FMA:12519,Atlas,
UBERON:0001093,vertebral bone 2,FMA:12520,Axis,
UBERON:0001094,sacral vertebra,FMA:12526,Sacral vertebra,
UBERON:0001095,caudal vertebra,FMA:12527,Coccygeal vertebra,
UBERON:0001096,wall of esophagus,FMA:12611,Wall of esophagus,
UBERON:0001097,axillary lymph node,FMA:12771,Superficial axillary lymph node,
UBERON:0001098,incisor tooth,FMA:12823,Incisor tooth,
UBERON:0001099,subcostal vein,FMA:12845,Subcostal vein,
UBERON:0001100,pectoralis minor,FMA:13109,Pectoralis minor,
UBERON:0001101,external jugular vein,FMA:13110,External jugular vein,
UBERON:0001102,cartilage of main bronchus,FMA:13117,Cartilage of main bronchus,
UBERON:0001103,diaphragm,FMA:13295,Diaphragm,
UBERON:0001104,anterior jugular vein,FMA:13318,Anterior jugular vein,
UBERON:0001105,clavicle bone,FMA:13321,Clavicle,
UBERON:0001106,cephalic vein,FMA:13324,Cephalic vein,
UBERON:0001107,sternohyoid muscle,FMA:13341,Sternohyoid,
UBERON:0001108,omohyoid muscle,FMA:13342,Omohyoid,
UBERON:0001109,sternothyroid muscle,FMA:13343,Sternothyroid,
UBERON:0001110,thyrohyoid muscle,FMA:13344,Thyrohyoid,
UBERON:0001111,intercostal muscle,FMA:13354,Intercostal muscle,
UBERON:0001112,latissimus dorsi muscle,FMA:13357,Latissimus dorsi,
UBERON:0001113,lobe of liver,FMA:13361,Lobe of liver,
UBERON:0001114,right lobe of liver,FMA:13362,Right lobe of liver (classical),
UBERON:0001115,left lobe of liver,FMA:13363,Left lobe of liver,
UBERON:0001116,quadrate lobe of liver,FMA:13364,Quadrate lobe of liver,
UBERON:0001117,caudate lobe of liver,FMA:13365,Caudate lobe of liver,
UBERON:0001118,lobe of thyroid gland,FMA:13367,Lobe of thyroid gland,
UBERON:0001119,right lobe of thyroid gland,FMA:13368,Right lobe of thyroid gland,
UBERON:0001120,left lobe of thyroid gland,FMA:13369,Left lobe of thyroid gland,
UBERON:0001121,longus colli muscle,FMA:13370,Longus colli,
UBERON:0001122,scalenus medius,FMA:13386,Scalenus medius,
UBERON:0001123,scalenus posterior,FMA:13387,Scalenus posterior,
UBERON:0001125,serratus ventralis,FMA:13397,Serratus anterior,
UBERON:0001126,serratus dorsalis superior muscle,FMA:13401,Serratus posterior superior,
UBERON:0001127,serratus dorsalis inferior muscle,FMA:13402,Serratus posterior inferior,
UBERON:0001128,sternocleidomastoid,FMA:13407,Sternocleidomastoid,
UBERON:0001129,subscapularis muscle,FMA:13413,Subscapularis,
UBERON:0001130,vertebral column,FMA:13478,Vertebral column,
UBERON:0001131,vertebral foramen,FMA:13479,Vertebral foramen,
UBERON:0001132,parathyroid gland,FMA:13890,Parathyroid gland,
UBERON:0001133,cardiac muscle tissue,FMA:14068,Cardiac muscle tissue,
UBERON:0001134,skeletal muscle tissue,FMA:14069,Skeletal muscle tissue,
UBERON:0001135,smooth muscle tissue,FMA:14070,Smooth muscle tissue,
UBERON:0001136,mesothelium,FMA:14074,Mesothelium,
UBERON:0001137,dorsum,FMA:14181,Back of body proper,
UBERON:0001138,superior mesenteric vein,FMA:14332,Superior mesenteric vein,
UBERON:0001139,common iliac vein,FMA:14333,Common iliac vein,
UBERON:0001140,renal vein,FMA:14334,Renal vein,
UBERON:0001141,right renal vein,FMA:14335,Right renal vein,
UBERON:0001142,left renal vein,FMA:14336,Left renal vein,
UBERON:0001143,hepatic vein,FMA:14337,Hepatic vein,
UBERON:0001144,testicular vein,FMA:14344,Testicular vein,
UBERON:0001145,ovarian vein,FMA:14346,Ovarian vein,
UBERON:0001146,suprarenal vein,FMA:14348,Suprarenal vein,
UBERON:0001148,median nerve,FMA:14385,Median nerve,
UBERON:0001149,bare area of liver,FMA:14480,Bare area of liver,
UBERON:0001150,body of pancreas,FMA:14518,Body of pancreas,
UBERON:0001151,tail of pancreas,FMA:14519,Tail of pancreas,
UBERON:0001152,cystic duct,FMA:14539,Cystic duct,
UBERON:0001153,caecum,FMA:14541,Cecum,
UBERON:0001154,vermiform appendix,FMA:14542,Appendix,
UBERON:0001155,colon,FMA:14543,Colon,
UBERON:0001156,ascending colon,FMA:14545,Ascending colon,
UBERON:0001157,transverse colon,FMA:14546,Transverse colon,
