MONDO ID,MONDO Label,DOID,DO Label
MONDO:0000254,cutaneous mycosis,DOID:0050134,cutaneous mycosis
MONDO:0000255,subcutaneous mycosis,DOID:0050135,subcutaneous mycosis
MONDO:0000256,systemic mycosis,DOID:0050136,systemic mycosis
MONDO:0000257,acute diarrhea,DOID:0050140,acute diarrhea
MONDO:0000259,asymptomatic dengue,DOID:0050143,asymptomatic dengue
MONDO:0000260,Kartagener syndrome,DOID:0050144,Kartagener syndrome
MONDO:0000261,adenoiditis,DOID:0050145,adenoiditis
MONDO:0000262,otomycosis,DOID:0050147,otomycosis
MONDO:0000263,laryngotracheitis,DOID:0050148,laryngotracheitis
MONDO:0000265,aspiration pneumonia (disease),DOID:0050152,aspiration pneumonia
MONDO:0000266,pulmonary aspergilloma,DOID:0050153,pulmonary aspergilloma
MONDO:0000270,lower respiratory tract disease,DOID:0050161,lower respiratory tract disease
MONDO:0000271,tuberculous salpingitis,DOID:0050166,tuberculous salpingitis
MONDO:0000273,Kunjin encephalitis,DOID:0050174,Kunjin encephalitis
MONDO:0000275,monogenic disease,DOID:0050177,monogenic disease
MONDO:0000276,Powassan encephalitis,DOID:0050179,Powassan encephalitis
MONDO:0000282,Whitewater Arroyo hemorrhagic fever,DOID:0050199,Whitewater Arroyo hemorrhagic fever
MONDO:0000283,Korean hemorrhagic fever,DOID:0050200,Korean hemorrhagic fever
MONDO:0000284,nephropathia epidemica,DOID:0050201,nephropathia epidemica
MONDO:0000286,Epstein-Barr virus hepatitis,DOID:0050204,Epstein-Barr virus hepatitis
MONDO:0000288,polycystic echinococcosis,DOID:0050218,polycystic echinococcosis
MONDO:0000290,primary amebic meningoencephalitis,DOID:0050242,primary amebic meningoencephalitis
MONDO:0000291,granulomatous amebic encephalitis,DOID:0050246,granulomatous amebic encephalitis
MONDO:0000292,philophthalmiasis,DOID:0050250,philophthalmiasis
MONDO:0000293,coenurosis,DOID:0050251,coenurosis
MONDO:0000294,mesocestoidiasis,DOID:0050253,mesocestoidiasis
MONDO:0000295,acanthocephaliasis,DOID:0050254,acanthocephaliasis
MONDO:0000297,baylisascariasis,DOID:0050259,baylisascariasis
MONDO:0000298,dioctophymiasis,DOID:0050260,dioctophymiasis
MONDO:0000299,thelaziasis,DOID:0050261,thelaziasis
MONDO:0000301,ophthalmomyiasis,DOID:0050268,ophthalmomyiasis
MONDO:0000302,basidiobolomycosis,DOID:0050278,basidiobolomycosis
MONDO:0000303,conidiobolomycosis,DOID:0050279,conidiobolomycosis
MONDO:0000304,penicilliosis,DOID:0050288,penicilliosis
MONDO:0000306,trichosporonosis,DOID:0050290,trichosporonosis
MONDO:0000307,parasitic Ichthyosporea infectious disease,DOID:0050291,parasitic Ichthyosporea infectious disease
MONDO:0000308,primary systemic mycosis,DOID:0050292,primary systemic mycosis
MONDO:0000309,aniseikonia,DOID:0050304,aniseikonia
MONDO:0000310,Alkhurma hemorrhagic fever,DOID:0050308,Alkhurma hemorrhagic fever
MONDO:0000313,hypophosphatemia (disease),DOID:0050336,hypophosphatemia
MONDO:0000314,primary bacterial infectious disease,DOID:0050338,primary bacterial infectious disease
MONDO:0000315,commensal bacterial infectious disease,DOID:0050339,commensal bacterial infectious disease
MONDO:0000316,opportunistic bacterial infectious disease,DOID:0050340,opportunistic bacterial infectious disease
MONDO:0000320,glandular tularemia,DOID:0050382,glandular tularemia
MONDO:0000321,typhoidal tularemia,DOID:0050383,typhoidal tularemia
MONDO:0000327,Buruli ulcer disease,DOID:0050456,Buruli ulcer disease
MONDO:0000328,hyperphosphatemia (disease),DOID:0050459,hyperphosphatemia
MONDO:0000330,endemic typhus,DOID:0050481,endemic typhus
MONDO:0000331,Rickettsia helvetica spotted fever,DOID:0050484,aneruptive fever
MONDO:0000332,sennetsu fever,DOID:0050485,sennetsu fever
MONDO:0000333,early congenital syphilis,DOID:0050488,early congenital syphilis
MONDO:0000334,multinodular goiter,DOID:0050489,multinodular goiter
MONDO:0000335,parenchymatous neurosyphilis,DOID:0050490,parenchymatous neurosyphilis
MONDO:0000336,meningovascular neurosyphilis,DOID:0050491,meningovascular neurosyphilis
MONDO:0000337,exanthema subitum,DOID:0050495,exanthema subitum
MONDO:0000338,variola major,DOID:0050508,variola major
MONDO:0000339,spinal polio,DOID:0050513,spinal polio
MONDO:0000340,bulbospinal polio,DOID:0050514,bulbospinal polio
MONDO:0000341,paralytic poliomyelitis,DOID:0050515,paralytic poliomyelitis
MONDO:0000342,O'nyong'nyong fever,DOID:0050516,O'nyong'nyong fever
MONDO:0000343,Barmah forest virus disease,DOID:0050517,Barmah Forest virus disease
MONDO:0000344,Ross river fever,DOID:0050518,Ross River fever
MONDO:0000345,Oropouche fever,DOID:0050521,Oropouche fever
MONDO:0000346,Balkan hemorrhagic fever,DOID:0050522,Balkan hemorrhagic fever
MONDO:0000348,posterior polar cataract (disease),DOID:0050537,posterior polar cataract
MONDO:0000351,hypermethioninemia (disease),DOID:0050544,hypermethioninemia
MONDO:0000355,Ullrich congenital muscular dystrophy,DOID:0050558,Ullrich congenital muscular dystrophy
MONDO:0000358,orofacial cleft,DOID:0050567,orofacial cleft
MONDO:0000359,spondylocostal dysostosis,DOID:0050568,spondylocostal dysostosis
MONDO:0000363,gummatous syphilis,DOID:0050584,gummatous syphilis
MONDO:0000365,primary congenital glaucoma (disease),DOID:0050593,primary congenital glaucoma
MONDO:0000366,glycogen storage disease IX,DOID:0050594,glycogen storage disease IX
MONDO:0000367,taeniasis,DOID:0050596,taeniasis
MONDO:0000368,extrapulmonary tuberculosis,DOID:0050598,extrapulmonary tuberculosis
MONDO:0000369,abdominal tuberculosis,DOID:0050599,abdominal tuberculosis
MONDO:0000371,oral cavity carcinoma in situ,DOID:0050610,oral cavity carcinoma in situ
MONDO:0000372,pharynx carcinoma in situ,DOID:0050611,pharynx carcinoma in situ
MONDO:0000373,gall bladder carcinoma in situ,DOID:0050612,gall bladder carcinoma in situ
MONDO:0000374,bile duct carcinoma in situ,DOID:0050613,bile duct carcinoma in situ
MONDO:0000375,bronchus carcinoma in situ,DOID:0050614,bronchus carcinoma in situ
MONDO:0000376,respiratory system cancer,DOID:0050615,respiratory system cancer
MONDO:0000377,malignant leydig cell tumor,DOID:0050616,malignant Leydig cell tumor
MONDO:0000378,malignant Sertoli cell tumor,DOID:0050617,malignant Sertoli cell tumor
MONDO:0000379,malignant Sertoli-leydig cell tumor,DOID:0050618,malignant Sertoli-Leydig cell tumor
MONDO:0000380,paranasal sinus cancer,DOID:0050619,paranasal sinus cancer
MONDO:0000381,infiltrating renal pelvis transitional cell carcinoma,DOID:0050620,infiltrating renal pelvis transitional cell carcinoma
MONDO:0000382,respiratory system benign neoplasm,DOID:0050621,respiratory system benign neoplasm
MONDO:0000383,reproductive organ benign neoplasm,DOID:0050622,reproductive organ benign neoplasm
MONDO:0000384,bladder benign neoplasm,DOID:0050623,bladder benign neoplasm
MONDO:0000385,benign digestive system neoplasm,DOID:0050624,gastrointestinal system benign neoplasm
MONDO:0000386,digestive system neuroendocrine tumor,DOID:0050626,gastrointestinal neuroendocrine tumor
MONDO:0000387,hypochromic microcytic anemia (disease),DOID:0050642,hypochromic microcytic anemia
MONDO:0000389,atelosteogenesis,DOID:0050648,atelosteogenesis
MONDO:0000390,vitelliform macular dystrophy,DOID:0050661,vitelliform macular dystrophy
MONDO:0000393,partial fetal alcohol syndrome,DOID:0050666,partial fetal alcohol syndrome
MONDO:0000395,alcohol-related birth defect,DOID:0050668,alcohol-related birth defect
MONDO:0000396,spastic cerebral palsy,DOID:0050669,spastic cerebral palsy
MONDO:0000397,ataxic cerebral palsy,DOID:0050670,ataxic cerebral palsy
MONDO:0000399,dyskinetic cerebral palsy,DOID:0050672,dyskinetic cerebral palsy
MONDO:0000400,mixed cerebral palsy,DOID:0050673,mixed cerebral palsy
MONDO:0000402,small cell carcinoma,DOID:0050685,small cell carcinoma
MONDO:0000405,anal canal cancer,DOID:0050688,anal canal cancer
MONDO:0000406,brown-Vialetto-van Laere syndrome,DOID:0050694,Brown-Vialetto-Van Laere syndrome
MONDO:0000407,malignant pleural solitary fibrous tumor,DOID:0050695,malignant pleural solitary fibrous tumor
MONDO:0000408,fetal alcohol spectrum disorder,DOID:0050696,fetal alcohol spectrum disorder
MONDO:0000409,chorioamnionitis,DOID:0050697,chorioamnionitis
MONDO:0000410,funisitis,DOID:0050698,funisitis
MONDO:0000411,electroclinical syndrome,DOID:0050701,electroclinical syndrome
MONDO:0000412,neonatal period electroclinical syndrome,DOID:0050702,neonatal period electroclinical syndrome
MONDO:0000413,infancy electroclinical syndrome,DOID:0050703,infancy electroclinical syndrome
MONDO:0000414,childhood electroclinical syndrome,DOID:0050704,childhood electroclinical syndrome
MONDO:0000415,adolescence-adult electroclinical syndrome,DOID:0050705,adolescence-adult electroclinical syndrome
MONDO:0000416,variable age at onset electroclinical syndrome,DOID:0050706,variable age at onset electroclinical syndrome
MONDO:0000417,early onset absence epilepsy,DOID:0050708,early onset absence epilepsy
MONDO:0000420,cerebral folate receptor alpha deficiency,DOID:0050719,cerebral folate receptor alpha deficiency
MONDO:0000421,inborn serine deficiency,DOID:0050721,serine deficiency
MONDO:0000422,inborn glycogen metabolism disorder,DOID:0050728,glycogen metabolism disorder
MONDO:0000424,inborn vitamin B12 deficiency (disease),DOID:0050731,vitamin B12 deficiency
MONDO:0000425,X-linked disease,DOID:0050735,X-linked disease
MONDO:0000426,autosomal dominant disease,DOID:0050736,autosomal dominant disease
MONDO:0000428,Y-linked disease,DOID:0050738,Y-linked disease
MONDO:0000429,autosomal genetic disease,DOID:0050739,autosomal genetic disease
MONDO:0000430,mature T-cell and NK-cell lymphoma,DOID:0050743,mature T-cell and NK-cell lymphoma
MONDO:0000432,lymphoplasmacytic lymphoma,DOID:0050747,lymphoplasmacytic lymphoma
MONDO:0000434,peripheral T-cell lymphoma,DOID:0050749,peripheral T-cell lymphoma
MONDO:0000437,cerebellar ataxia,DOID:0050753,cerebellar ataxia
MONDO:0000438,ataxia with oculomotor apraxia type 2,DOID:0050755,ataxia with oculomotor apraxia type 2
MONDO:0000440,metabolic acidosis,DOID:0050758,metabolic acidosis
MONDO:0000442,paramyloidosis,DOID:0050761,paramyloidosis
MONDO:0000443,adenylosuccinase lyase deficiency,DOID:0050762,adenylosuccinase lyase deficiency
MONDO:0000446,midface dysplasia,DOID:0050767,midface dysplasia
MONDO:0000447,polycystic liver disease (disease),DOID:0050770,polycystic liver disease
MONDO:0000448,paraganglioma,DOID:0050773,paraganglioma
MONDO:0000450,secondary progressive multiple sclerosis,DOID:0050783,secondary progressive multiple sclerosis
MONDO:0000451,primary progressive multiple sclerosis,DOID:0050784,primary progressive multiple sclerosis
MONDO:0000452,progressive relapsing multiple sclerosis,DOID:0050785,progressive relapsing multiple sclerosis
MONDO:0000453,short QT syndrome,DOID:0050793,short QT syndrome
MONDO:0000455,cone dystrophy,DOID:0050795,cone dystrophy
MONDO:0000456,cerebral creatine deficiency syndrome,DOID:0050798,cerebral creatine deficiency syndrome
MONDO:0000457,classical glioblastoma,DOID:0050803,glioblastoma classical subtype
MONDO:0000458,proneural glioblastoma,DOID:0050804,glioblastoma proneural subtype
MONDO:0000459,mesenchymal glioblastoma,DOID:0050805,glioblastoma mesenchymal subtype
MONDO:0000460,neural glioblastoma,DOID:0050806,glioblastoma neural subtype
MONDO:0000461,biotin deficiency,DOID:0050810,biotin deficiency
MONDO:0000462,eye adnexa disease,DOID:0050815,eye adnexa disease
MONDO:0000463,urofacial syndrome,DOID:0050816,urofacial syndrome
MONDO:0000465,atrioventricular block (disease),DOID:0050820,atrioventricular block
MONDO:0000466,first-degree atrioventricular block,DOID:0050821,first-degree atrioventricular block
MONDO:0000467,second-degree atrioventricular block,DOID:0050822,second-degree atrioventricular block
MONDO:0000468,third-degree atrioventricular block,DOID:0050823,third-degree atrioventricular block
MONDO:0000469,sinoatrial node disease,DOID:0050824,sinoatrial node disease
MONDO:0000470,endocardium disease,DOID:0050825,endocardium disease
MONDO:0000471,tricuspid valve disease,DOID:0050826,tricuspid valve disease
MONDO:0000473,artery disease,DOID:0050828,artery disease
MONDO:0000474,pericardium disease,DOID:0050829,pericardium disease
MONDO:0000476,generalized dystonia,DOID:0050835,generalized dystonia
MONDO:0000477,focal dystonia,DOID:0050836,focal dystonia
MONDO:0000478,multifocal dystonia,DOID:0050837,multifocal dystonia
MONDO:0000479,segmental dystonia,DOID:0050838,segmental dystonia
MONDO:0000480,anismus,DOID:0050839,anismus
MONDO:0000481,cervical dystonia,DOID:0050840,cervical dystonia
MONDO:0000482,focal hand dystonia,DOID:0050841,focal hand dystonia
MONDO:0000483,oculogyric crisis,DOID:0050842,oculogyric crisis
MONDO:0000485,spasmodic dystonia,DOID:0050844,spasmodic dystonia
MONDO:0000486,cranio-facial dystonia,DOID:0050845,cranio-facial dystonia
MONDO:0000487,hemidystonia,DOID:0050846,hemidystonia
MONDO:0000488,periampullary adenoma,DOID:0050849,periampullary adenoma
MONDO:0000489,diabetic encephalopathy,DOID:0050850,diabetic encephalopathy
MONDO:0000490,glomerulosclerosis,DOID:0050851,glomerulosclerosis
MONDO:0000491,limb ischemia,DOID:0050852,limb ischemia
MONDO:0000492,chronic venous insufficiency,DOID:0050853,chronic venous insufficiency
MONDO:0000494,renal fibrosis,DOID:0050855,renal fibrosis
MONDO:0000495,oppositional defiant disorder (disease),DOID:0050856,oppositional defiant disorder
MONDO:0000496,hemorrhagic cystitis,DOID:0050859,hemorrhagic cystitis
MONDO:0000497,pyometritis,DOID:0050862,pyometritis
MONDO:0000498,arteritic anterior ischemic optic neuropathy,DOID:0050863,arteritic anterior ischemic optic neuropathy
MONDO:0000499,non-arteritic anterior ischemic optic neuropathy,DOID:0050864,non-arteritic anterior ischemic optic neuropathy
MONDO:0000500,tongue squamous cell carcinoma,DOID:0050865,tongue squamous cell carcinoma
MONDO:0000501,Jensen syndrome,DOID:0050867,Jensen syndrome
MONDO:0000502,villous adenoma,DOID:0050869,villous adenoma
MONDO:0000503,in situ pulmonary adenocarcinoma,DOID:0050870,in situ pulmonary adenocarcinoma
MONDO:0000507,inclusion body myopathy with Paget disease of bone and frontotemporal dementia,DOID:0050881,inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000508,syndromic intellectual disability,DOID:0050888,syndromic intellectual disability
MONDO:0000509,non-syndromic intellectual disability,DOID:0050889,non-syndromic intellectual disability
MONDO:0000510,synucleinopathy,DOID:0050890,synucleinopathy
MONDO:0000513,bone ameloblastoma,DOID:0050895,bone ameloblastoma
MONDO:0000514,bone squamous cell carcinoma,DOID:0050896,bone squamous cell carcinoma
MONDO:0000515,bone chondrosarcoma,DOID:0050897,bone chondrosarcoma
MONDO:0000516,phalanx chondroma,DOID:0050898,phalanx chondroma
MONDO:0000517,brain stem medulloblastoma,DOID:0050899,brain stem medulloblastoma
MONDO:0000518,sacrum chordoma,DOID:0050900,sacrum chordoma
MONDO:0000519,corpus callosum oligodendroglioma,DOID:0050901,corpus callosum oligodendroglioma
MONDO:0000520,parietal lobe ependymal tumor,DOID:0050903,parietal lobe ependymoma
MONDO:0000521,salivary gland carcinoma,DOID:0050904,salivary gland carcinoma
MONDO:0000524,mixed extragonadal germ cell cancer,DOID:0050907,mixed extragonadal germ cell cancer
MONDO:0000525,cecum villous adenoma,DOID:0050910,cecum adenoma
MONDO:0000526,appendix carcinoid tumor,DOID:0050911,appendix carcinoid tumor
MONDO:0000527,colon adenoma,DOID:0050912,colon adenoma
MONDO:0000530,rectum adenoma,DOID:0050915,rectum adenoma
MONDO:0000531,bronchus mucoepidermoid carcinoma,DOID:0050916,bronchus mucoepidermoid carcinoma
MONDO:0000532,lung combined type small cell adenocarcinoma,DOID:0050917,lung combined type small cell adenocarcinoma
MONDO:0000534,trachea mucoepidermoid carcinoma,DOID:0050919,trachea mucoepidermoid carcinoma
MONDO:0000535,tonsil squamous cell carcinoma,DOID:0050920,tonsil squamous cell carcinoma
MONDO:0000536,pharynx squamous cell carcinoma,DOID:0050921,pharynx squamous cell carcinoma
MONDO:0000538,spindle epithelial tumor with thymus-like differentiation tumor,DOID:0050923,spindle epithelial tumor with thymus-like differentiation tumor
MONDO:0000539,striated muscle rhabdoid tumor,DOID:0050924,striated muscle rhabdoid tumor
MONDO:0000540,small intestinal neuroendocrine tumor G1,DOID:0050925,small intestine carcinoid neuroendocrine tumor
MONDO:0000541,jejunal adenocarcinoma (disease),DOID:0050926,jejunal adenocarcinoma
MONDO:0000543,ovarian melanoma,DOID:0050928,ovarian melanoma
MONDO:0000544,mucosal melanoma,DOID:0050929,mucosal melanoma
MONDO:0000545,sublingual gland adenoid cystic carcinoma,DOID:0050930,sublingual gland adenoid cystic carcinoma
MONDO:0000548,ovarian clear cell cancer,DOID:0050934,ovarian clear cell carcinoma
MONDO:0000549,cervical neuroblastoma,DOID:0050935,cervical neuroblastoma
MONDO:0000550,extra-adrenal sympathetic paraganglioma,DOID:0050936,extra-adrenal pheochromocytoma
MONDO:0000551,retroperitoneal neuroblastoma,DOID:0050937,retroperitoneal neuroblastoma
MONDO:0000552,breast lobular carcinoma,DOID:0050938,breast lobular carcinoma
MONDO:0000553,uterine corpus endometrial carcinoma,DOID:0050939,uterine corpus endometrial carcinoma
MONDO:0000554,endocervical adenocarcinoma,DOID:0050940,endocervical adenocarcinoma
MONDO:0000557,hereditary ataxia,DOID:0050951,hereditary ataxia
MONDO:0000559,X-linked hereditary ataxia,DOID:0050953,X-linked hereditary ataxia
MONDO:0000561,spinocerebellar ataxia type 16,DOID:0050966,spinocerebellar ataxia type 16
MONDO:0000563,GRID2-related autosomal dominant spinocerebellar ataxia,DOID:0050988,GRID2-related spinocerebellar ataxia
MONDO:0000565,infective endocarditis,DOID:0060000,infective endocarditis
MONDO:0000568,autoimmune disease of central nervous system,DOID:0060004,autoimmune disease of central nervous system
MONDO:0000569,autoimmune disease of endocrine system,DOID:0060005,autoimmune disease of endocrine system
MONDO:0000572,recombinase activating gene 1 deficiency,DOID:0060011,recombinase activating gene 1 deficiency
MONDO:0000573,recombinase activating gene 2 deficiency,DOID:0060012,recombinase activating gene 2 deficiency
MONDO:0000575,interleukin-7 receptor alpha deficiency,DOID:0060015,interleukin-7 receptor alpha deficiency
MONDO:0000579,coronin-1A deficiency,DOID:0060019,coronin-1A deficiency
MONDO:0000581,lambda 5 deficiency,DOID:0060024,lambda 5 deficiency
MONDO:0000583,immunoglobulin beta deficiency,DOID:0060026,immunoglobulin beta deficiency
MONDO:0000584,B cell linker protein deficiency,DOID:0060027,B cell linker protein deficiency
MONDO:0000586,autoimmune disease of exocrine system,DOID:0060029,autoimmune disease of exocrine system
MONDO:0000587,"autoimmune disease of eyes, ear, nose and throat",DOID:0060030,"autoimmune disease of eyes, ear, nose and throat"
MONDO:0000588,autoimmune disease of gastrointestinal tract,DOID:0060031,autoimmune disease of gastrointestinal tract
MONDO:0000589,autoimmune disease of musculoskeletal system,DOID:0060032,autoimmune disease of musculoskeletal system
MONDO:0000590,autoimmune disease of peripheral nervous system,DOID:0060033,autoimmune disease of peripheral nervous system
MONDO:0000591,intrinsic cardiomyopathy,DOID:0060036,intrinsic cardiomyopathy
MONDO:0000592,specific developmental disorder,DOID:0060038,specific developmental disorder
MONDO:0000593,autoimmune disease of skin and connective tissue,DOID:0060039,autoimmune disease of skin and connective tissue
MONDO:0000594,pervasive developmental disorder,DOID:0060040,pervasive developmental disorder
MONDO:0000595,sexual disorder,DOID:0060043,sexual disorder
MONDO:0000596,paraphilic disorder,DOID:0060044,paraphilia disorder
MONDO:0000597,Munchausen by proxy,DOID:0060045,Munchausen by proxy
MONDO:0000598,aphasia,DOID:0060046,aphasia
MONDO:0000599,writing disorder,DOID:0060047,writing disorder
MONDO:0000600,nosophobia,DOID:0060048,nosophobia
MONDO:0000601,autoimmune disease of urogenital tract,DOID:0060049,autoimmune disease of urogenital tract
MONDO:0000602,autoimmune disease of blood,DOID:0060050,autoimmune disease of blood
MONDO:0000603,autoimmune disease of cardiovascular system,DOID:0060051,autoimmune disease of cardiovascular system
MONDO:0000604,autonomic peripheral neuropathy,DOID:0060054,autonomic peripheral neuropathy
MONDO:0000605,hypersensitivity reaction disease,DOID:0060056,hypersensitivity reaction disease
MONDO:0000606,gluten allergy,DOID:0060057,gluten allergy
MONDO:0000607,cutaneous T cell lymphoma,DOID:0060061,cutaneous T cell lymphoma
MONDO:0000608,familial juvenile hyperuricemic nephropathy,DOID:0060062,familial juvenile hyperuricemic nephropathy
MONDO:0000610,marantic endocarditis,DOID:0060068,marantic endocarditis
MONDO:0000611,pre-malignant neoplasm,DOID:0060071,pre-malignant neoplasm
MONDO:0000612,lymphatic system cancer,DOID:0060073,lymphatic system cancer
MONDO:0000615,progesterone-receptor positive breast cancer,DOID:0060077,progesterone-receptor positive breast cancer
MONDO:0000616,progesterone-receptor negative breast cancer,DOID:0060078,progesterone-receptor negative breast cancer
MONDO:0000617,Her2-receptor positive breast cancer,DOID:0060079,Her2-receptor positive breast cancer
MONDO:0000618,Her2-receptor negative breast cancer,DOID:0060080,Her2-receptor negative breast cancer
MONDO:0000619,triple-receptor negative breast cancer,DOID:0060081,triple-receptor negative breast cancer
MONDO:0000620,breast benign neoplasm,DOID:0060082,breast benign neoplasm
MONDO:0000621,immune system cancer,DOID:0060083,immune system cancer
MONDO:0000624,female reproductive organ benign neoplasm,DOID:0060086,female reproductive organ benign neoplasm
MONDO:0000625,male reproductive organ benign neoplasm,DOID:0060087,male reproductive organ benign neoplasm
MONDO:0000626,vestibular gland benign neoplasm,DOID:0060088,vestibular gland benign neoplasm
MONDO:0000627,benign endocrine neoplasm,DOID:0060089,endocrine organ benign neoplasm
MONDO:0000628,central nervous system organ benign neoplasm,DOID:0060090,central nervous system organ benign neoplasm
MONDO:0000629,cardiovascular organ benign neoplasm,DOID:0060091,cardiovascular organ benign neoplasm
MONDO:0000630,immune system organ benign neoplasm,DOID:0060092,immune system organ benign neoplasm
MONDO:0000631,bone benign neoplasm,DOID:0060094,bone benign neoplasm
MONDO:0000632,uterine benign neoplasm,DOID:0060095,uterine benign neoplasm
MONDO:0000633,sensory organ benign neoplasm,DOID:0060096,sensory organ benign neoplasm
MONDO:0000634,thoracic benign neoplasm,DOID:0060097,thoracic benign neoplasm
MONDO:0000636,musculoskeletal system benign neoplasm,DOID:0060099,musculoskeletal system benign neoplasm
MONDO:0000637,musculoskeletal system cancer,DOID:0060100,musculoskeletal system cancer
MONDO:0000638,benign glioma,DOID:0060101,benign glioma
MONDO:0000639,cartilage cancer,DOID:0060102,cartilage cancer
MONDO:0000640,central nervous system primitive neuroectodermal neoplasm,DOID:0060103,central nervous system primitive neuroectodermal neoplasm
MONDO:0000641,cerebellar medulloblastoma,DOID:0060104,cerebellar medulloblastoma
MONDO:0000642,brain meningioma,DOID:0060106,brain meningioma
MONDO:0000643,vulvar benign neoplasm,DOID:0060109,vulvar benign neoplasm
MONDO:0000644,cervical benign neoplasm,DOID:0060110,cervical benign neoplasm
MONDO:0000645,fallopian tube benign neoplasm,DOID:0060111,fallopian tube benign neoplasm
MONDO:0000646,ovarian benign neoplasm,DOID:0060112,ovarian benign neoplasm
MONDO:0000647,benign vaginal neoplasm,DOID:0060114,vaginal benign neoplasm
MONDO:0000648,nervous system benign neoplasm,DOID:0060115,nervous system benign neoplasm
MONDO:0000649,sensory system cancer,DOID:0060116,sensory system cancer
MONDO:0000650,peritoneal benign neoplasm,DOID:0060117,peritoneal benign neoplasm
MONDO:0000651,thoracic disease,DOID:0060118,thoracic disease
MONDO:0000652,integumentary system benign neoplasm,DOID:0060121,integumentary system benign neoplasm
MONDO:0000653,integumentary system cancer,DOID:0060122,integumentary system cancer
MONDO:0000654,connective tissue benign neoplasm,DOID:0060123,connective tissue benign neoplasm
MONDO:0000659,delta-heavy chain disease,DOID:0060129,delta chain disease
MONDO:0000660,akinetopsia,DOID:0060130,akinetopsia
MONDO:0000661,alexithymia,DOID:0060131,alexithymia
MONDO:0000662,amusia,DOID:0060132,amusia
MONDO:0000663,anosognosia,DOID:0060133,anosognosia
MONDO:0000664,apperceptive agnosia,DOID:0060134,apperceptive agnosia
MONDO:0000665,apraxia,DOID:0060135,apraxia
MONDO:0000666,associative visual agnosia,DOID:0060136,associative agnosia
MONDO:0000667,auditory agnosia,DOID:0060137,auditory agnosia
MONDO:0000668,autotopagnosia,DOID:0060138,autotopagnosia
MONDO:0000669,color agnosia,DOID:0060139,color agnosia
MONDO:0000670,cortical deafness,DOID:0060140,cortical deafness
MONDO:0000671,finger agnosia (disease),DOID:0060141,finger agnosia
MONDO:0000672,form agnosia,DOID:0060142,form agnosia
MONDO:0000673,integrative agnosia,DOID:0060143,integrative agnosia
MONDO:0000674,mirror agnosia,DOID:0060144,mirror agnosia
MONDO:0000675,pain agnosia,DOID:0060145,pain agnosia
MONDO:0000676,phonagnosia,DOID:0060146,phonagnosia
MONDO:0000677,semantic agnosia,DOID:0060147,semantic agnosia
MONDO:0000678,simultanagnosia,DOID:0060148,simultanagnosia
